index,var,lower,upper,step,xlabel
1,dilepton_mass,70,110,1,$m_{ll}$ [GeV]
2,trilepton_pt,50,300,5,$p^T_{lll}$ [GeV]
3,trilepton_eta,-5,5,0.2,$\eta_{lll}$ [GeV]
4,trilepton_mass,50,300,5,$m_{lll}$ [GeV]
5,lepton1_eta,-5,5,0.2,$\eta_{l_1}$
6,lepton1_phi,-3,3,0.2,$\eta_{l_1}$
7,lepton1_pt,0,150,5,$p^T_{l_1}$ [GeV]
8,lepton2_eta,-5,5,0.2,$\eta_{l_2}$
9,lepton2_phi,-3,3,0.2,$\eta_{l_2}$
10,lepton2_pt,0,150,5,$p^T_{l_2}$ [GeV]
11,lepton3_eta,-5,5,0.2,$\eta_{l_3}$
12,lepton3_phi,-3,3,0.2,$\eta_{l_3}$
13,lepton3_pt,0,150,5,$p^T_{l_3}$ [GeV]
14,lepton3_iso,-0.05,2,0.05,$ISO_{l_3}$ [GeV]
15,nBJets,0,10,1,$n_{b}$
16,nElectrons,0,10,1,$n_{e}$
17,nJets,0,10,1,$n_{j}$
18,nMuons,0,10,1,$n_{\mu}$
19,nPV,0,40,1,$n_{PV}$
20,met,0,200,5,met [GeV]
21,lepton3_deltaPhi,0,4.2,0.1,$\Delta \phi_{lll}$
