index,var,lower,upper,step,xlabel
15,dilepton_mass,70,110,1,$m_{ll}$ [GeV]
16,trilepton_pt,50,300,5,$p^T_{lll}$ [GeV]
17,trilepton_eta,-5,5,0.2,$\eta_{lll}$ [GeV]
18,trilepton_mass,50,300,5,$m_{lll}$ [GeV]
19,lepton1_eta,-5,5,0.2,$\eta_{l_1}$
20,lepton1_phi,-3,3,0.2,$\eta_{l_1}$
21,lepton1_pt,0,150,5,$p^T_{l_1}$ [GeV]
22,lepton2_eta,-5,5,0.2,$\eta_{l_2}$
23,lepton2_phi,-3,3,0.2,$\eta_{l_2}$
24,lepton2_pt,0,150,5,$p^T_{l_2}$ [GeV]
22,lepton3_eta,-5,5,0.2,$\eta_{\bar{\tau}}$
23,lepton3_phi,-3,3,0.2,$\eta_{\bar{\tau}}$
24,lepton3_pt,0,150,5,$p^T_{\bar{\tau}}$ [GeV]
24,lepton3_iso,-0.5,5,1,$ISO_{\bar{\tau}}$ [GeV]
28,nBJets,0,10,1,$n_{b}$
29,nElectrons,0,10,1,$n_{e}$
30,nJets,0,10,1,$n_{j}$
31,nMuons,0,10,1,$n_{\mu}$
32,nPV,0,40,1,$n_{PV}$
33,met,0,200,5,met [GeV]
34,lepton3_deltaPhi,0,4.2,0.1,$\Delta \phi_{ll \cdot \bar{\tau}}$
35,tauMVA,-1.1,1.1,0.1,$ MVA_{\bar{\tau}} }$
