index,var,lower,upper,step,xlabel
1,tauTwoIsoMVA,-1.1,1.1,0.1,MVA of $j \rightarrow \bar{\tau}$
2,tauTwoPt,0,150,5,$p^T$ of $j \rightarrow \bar{\tau}$
3,tauTwoEta,-5,5,0.2,$\eta$ of $j \rightarrow \bar{\tau}$
4,tauTwoPuppiChHadIso,-0.1,4,0.1,ChHadIso of $j \rightarrow \bar{\tau}$
5,tauTwoPuppiGammaIso,-0.1,3,0.1,GammaIso of $j \rightarrow \bar{\tau}$
6,tauTwoPuppiNeuHadIso,-.1,1,0.05,NeuHadIso of $j \rightarrow \bar{\tau}$

7,tauOneIsoMVA,-1.1,1.1,0.1,MVA of $\tau_h \rightarrow \bar{\tau}$
8,tauOnePt,0,150,5,$p^T$ of $\tau_h \rightarrow \bar{\tau}$
9,tauOneEta,-5,5,0.2,$\eta$ of $\tau_h \rightarrow \bar{\tau}$
10,tauOnePuppiChHadIso,-0.1,4,0.1,ChHadIso of $\tau_h \rightarrow \bar{\tau}$
11,tauOnePuppiGammaIso,-0.1,3,0.1,GammaIso of $\tau_h \rightarrow \bar{\tau}$
12,tauOnePuppiNeuHadIso,-.1,1,0.05,NeuHadIso of $\tau_h \rightarrow \bar{\tau}$

13,nJets,0,10,1,$n_{j}$
14,nBJets,0,10,1,$n_{b}$
15,nElectrons,0,10,1,$n_{e}$
16,nMuons,0,10,1,$n_{\mu}$
17,nTaus,0,10,1,$n_{\tau_h} \rightarrow \bar{\tau}$
18,nMistaus,0,10,1,$n_{ j \rightarrow \bar{\tau}}$
